variant,rounds,stride,n_key_summaries,mean_mean_hamming_distance,sd_mean_hamming_distance,ci95_low_across_keys,ci95_high_across_keys
position_only,12,1,4,63.9107,0.026346916328103893,63.884880021998455,63.93651997800154
position_only,12,16,4,63.7669,0.06651290601580025,63.70171735210452,63.83208264789548
position_only,12,2,4,63.689775,0.09652752198207759,63.59517802845756,63.784371971542434
position_only,12,256,4,63.879025,0.03712522727203055,63.842642277273406,63.91540772272659
position_only,12,4,4,63.707724999999996,0.07990362423987053,63.629419448244924,63.78603055175507
position_only,12,8,4,63.710025,0.05471388458761283,63.656405393104144,63.76364460689586
position_only,14,1,4,63.971275,0.16541762048423422,63.80916573192545,64.13338426807455
position_only,14,16,4,63.92807500000001,0.07030573115567144,63.85917538346745,63.99697461653256
position_only,14,2,4,63.97115,0.04665908271708691,63.925424098937256,64.01687590106275
position_only,14,256,4,63.966350000000006,0.06652380526297048,63.9011566708423,64.03154332915771
position_only,14,4,4,64.015925,0.08068301659374455,63.93685564373813,64.09499435626186
position_only,14,8,4,63.933899999999994,0.04323864012662743,63.8915261326759,63.97627386732409
position_only,16,1,4,64.00077499999999,0.03643609702844919,63.96506762491211,64.03648237508787
position_only,16,16,4,63.968225000000004,0.035559000267163854,63.93337717973818,64.00307282026182
position_only,16,2,4,63.978775,0.08100030349737189,63.89939470257257,64.05815529742742
position_only,16,256,4,64.03465,0.07695632960755201,63.9592327969846,64.1100672030154
position_only,16,4,4,63.987675,0.04843603169817752,63.940207688935786,64.03514231106422
position_only,16,8,4,64.04105,0.06420376416794389,63.978130311115414,64.10396968888459
position_only,8,1,4,61.050824999999996,2.609904394641049,58.493118693251766,63.608531306748226
position_only,8,16,4,56.616875,0.9583755992128931,55.677666912771365,57.556083087228636
position_only,8,2,4,55.606674999999996,0.7101927126961123,54.910686141557804,56.30266385844219
position_only,8,256,4,58.681050000000006,0.5700746413117026,58.12237685151454,59.239723148485474
position_only,8,4,4,56.13275,0.5917225053463276,55.5528619447606,56.7126380552394
position_only,8,8,4,56.2558,0.5851208991880802,55.68238151879568,56.82921848120432
rotor,12,1,4,63.889799999999994,0.05294833960254383,63.8379106271895,63.94168937281049
rotor,12,16,4,63.6532,0.061439292530648074,63.59298949331996,63.713410506680034
rotor,12,2,4,63.693275,0.061392853818667,63.633110003257706,63.753439996742294
rotor,12,256,4,63.82085,0.09548348897409609,63.72727618080538,63.91442381919462
rotor,12,4,4,63.689949999999996,0.06276795891748145,63.628437400260864,63.75146259973913
rotor,12,8,4,63.713375,0.056062963115885774,63.658433296146434,63.768316703853564
rotor,14,1,4,64.028875,0.05150245139796815,63.97840259762999,64.07934740237
rotor,14,16,4,63.910425000000004,0.030292724649108406,63.88073812984388,63.94011187015613
rotor,14,2,4,63.97645,0.06871591276165094,63.90910840549358,64.04379159450642
rotor,14,256,4,63.955475,0.031350637952043604,63.924751374806995,63.986198625193005
rotor,14,4,4,64.00989999999999,0.026269500693135182,63.98415588932072,64.03564411067926
rotor,14,8,4,63.949875,0.06857192695751096,63.88267451158164,64.01707548841836
rotor,16,1,4,64.042175,0.05564946091382969,63.987638528304444,64.09671147169556
rotor,16,16,4,64.00585,0.019528867521355592,63.986711709829066,64.02498829017092
rotor,16,2,4,63.95345,0.0549463677901792,63.89960255956562,64.00729744043437
rotor,16,256,4,63.960224999999994,0.06998315868835613,63.891641504485406,64.02880849551458
rotor,16,4,4,63.976400000000005,0.07080268356495743,63.90701337010635,64.04578662989367
rotor,16,8,4,63.969825,0.09043540512431922,63.88119830297817,64.05845169702184
rotor,8,1,4,60.937925,3.056823264300157,57.94223820098585,63.93361179901415
rotor,8,16,4,55.6943,0.4978750780399971,55.2063824235208,56.1822175764792
rotor,8,2,4,56.223675,0.5085999565801524,55.72524704255145,56.72210295744855
rotor,8,256,4,58.220150000000004,0.6316552989302529,57.60112780704836,58.83917219295165
rotor,8,4,4,56.221925,0.38477725482846903,55.8448432902681,56.599006709731896
rotor,8,8,4,55.9887,0.4931635766491025,55.505399694883884,56.47200030511612
round_only,12,1,4,63.934799999999996,0.07023080995308728,63.86597380624597,64.00362619375402
round_only,12,16,4,63.640925,0.1278369893001768,63.515644750485826,63.76620524951418
round_only,12,2,4,63.768375000000006,0.0340144454607134,63.73504084344851,63.8017091565515
round_only,12,256,4,63.774475,0.05508311144685619,63.72049355078208,63.828456449217924
round_only,12,4,4,63.701875,0.04194411957195805,63.660769762819484,63.74298023718052
round_only,12,8,4,63.68515,0.03634120709791357,63.649535617044044,63.720764382955956
round_only,14,1,4,63.95035,0.06518847035072088,63.8864652990563,64.0142347009437
round_only,14,16,4,63.95885,0.06152931550624087,63.898551270803885,64.01914872919612
round_only,14,2,4,63.97635,0.07195857604668253,63.90583059547425,64.04686940452575
round_only,14,256,4,63.9712,0.0626091047691957,63.909843077326194,64.03255692267382
round_only,14,4,4,63.983599999999996,0.029186412363745442,63.954997315883524,64.01220268411646
round_only,14,8,4,63.990475,0.05779759943111827,63.93383335255751,64.0471166474425
round_only,16,1,4,63.975925,0.09307449973005183,63.88471199026455,64.06713800973544
round_only,16,16,4,64.014275,0.08556975224926465,63.93041664279572,64.09813335720428
round_only,16,2,4,64.031925,0.05557261765774132,63.97746383469541,64.08638616530459
round_only,16,256,4,63.99430000000001,0.03645819523783445,63.95857096866693,64.03002903133309
round_only,16,4,4,64.013125,0.015461214915608833,63.997973009382704,64.0282769906173
round_only,16,8,4,64.00395,0.014186965848973545,63.99004677346801,64.017853226532
round_only,8,1,4,57.563575,5.981727094173275,51.70148244771019,63.42566755228981
round_only,8,16,4,56.550025,0.2202414035401454,56.33418842453066,56.76586157546934
round_only,8,2,4,56.181225,0.6456859937306976,55.548452726143914,56.81399727385608
round_only,8,256,4,58.31914999999999,0.5685178068158183,57.76200254932049,58.876297450679495
round_only,8,4,4,56.467675,0.6607017803063644,55.820187255299764,57.115162744700235
round_only,8,8,4,56.788675,0.6885552622460063,56.11389084299891,57.46345915700108
static,12,1,4,63.9219,0.07778423147827761,63.84567145315129,63.99812854684871
static,12,16,4,63.686625,0.09115508305446375,63.59729301860663,63.77595698139337
static,12,2,4,63.746224999999995,0.08891956571344296,63.659083825600824,63.83336617439917
static,12,256,4,63.854749999999996,0.04840258257572548,63.80731546907578,63.90218453092421
static,12,4,4,63.7338,0.08601685881267597,63.64950347836358,63.81809652163643
static,12,8,4,63.71445,0.0467484402591846,63.668636528545996,63.760263471454
static,14,1,4,63.97495000000001,0.03936957370017556,63.936367817773835,64.01353218222619
static,14,16,4,63.89255,0.07600651287883088,63.81806361737875,63.96703638262125
static,14,2,4,63.947925,0.07699876081253798,63.87246621440371,64.02338378559628
static,14,256,4,63.969075,0.05590959220026863,63.91428359964373,64.02386640035625
static,14,4,4,64.00257500000001,0.10028779836052246,63.90429295760669,64.10085704239332
static,14,8,4,63.96665,0.02837986375349227,63.93883773352158,63.99446226647842
static,16,1,4,64.001425,0.038637578857891104,63.96356017271926,64.03928982728073
static,16,16,4,64.006875,0.0452478636696461,63.96253209360374,64.05121790639625
