key_index,variant,rounds,difference,samples,distinct_output_differences,max_multiplicity,collision_pairs,max_observed_probability,mean_output_difference_weight
0,position_only,8,full_byte_5,10000,10000,1,0,0.0001,59.6524
0,static,8,full_byte_10,10000,10000,1,0,0.0001,60.7878
0,rotor,8,full_byte_10,10000,10000,1,0,0.0001,60.8204
0,round_only,8,full_byte_10,10000,10000,1,0,0.0001,60.8637
0,position_only,8,full_byte_10,10000,10000,1,0,0.0001,60.8774
0,static,8,full_byte_15,10000,10000,1,0,0.0001,61.3777
0,rotor,8,full_byte_15,10000,10000,1,0,0.0001,61.1232
0,round_only,8,full_byte_15,10000,10000,1,0,0.0001,61.2961
0,position_only,8,full_byte_15,10000,10000,1,0,0.0001,61.4255
0,static,8,two_byte_weight2,10000,10000,1,0,0.0001,57.078
0,rotor,8,two_byte_weight2,10000,10000,1,0,0.0001,56.965
0,round_only,8,two_byte_weight2,10000,10000,1,0,0.0001,57.0847
0,position_only,8,two_byte_weight2,10000,10000,1,0,0.0001,56.8419
0,static,8,four_byte_weight4,10000,10000,1,0,0.0001,63.7723
0,rotor,8,four_byte_weight4,10000,10000,1,0,0.0001,63.7788
0,round_only,8,four_byte_weight4,10000,10000,1,0,0.0001,63.8289
0,position_only,8,four_byte_weight4,10000,10000,1,0,0.0001,63.8611
0,static,12,single_bit_0,10000,10000,1,0,0.0001,63.6532
0,rotor,12,single_bit_0,10000,10000,1,0,0.0001,63.6922
0,round_only,12,single_bit_0,10000,10000,1,0,0.0001,63.567
0,position_only,12,single_bit_0,10000,10000,1,0,0.0001,63.6811
0,static,12,single_bit_19,10000,10000,1,0,0.0001,63.3956
0,rotor,12,single_bit_19,10000,10000,1,0,0.0001,63.4304
0,round_only,12,single_bit_19,10000,10000,1,0,0.0001,63.3589
0,position_only,12,single_bit_19,10000,10000,1,0,0.0001,63.29
0,static,12,single_bit_44,10000,10000,1,0,0.0001,63.4545
0,rotor,12,single_bit_44,10000,10000,1,0,0.0001,63.501
0,round_only,12,single_bit_44,10000,10000,1,0,0.0001,63.4383
0,position_only,12,single_bit_44,10000,10000,1,0,0.0001,63.5714
0,static,12,single_bit_68,10000,10000,1,0,0.0001,63.5236
0,rotor,12,single_bit_68,10000,10000,1,0,0.0001,63.749
0,round_only,12,single_bit_68,10000,10000,1,0,0.0001,63.4931
0,position_only,12,single_bit_68,10000,10000,1,0,0.0001,63.6835
0,static,12,single_bit_93,10000,10000,1,0,0.0001,63.6591
0,rotor,12,single_bit_93,10000,10000,1,0,0.0001,63.7009
0,round_only,12,single_bit_93,10000,10000,1,0,0.0001,63.664
0,position_only,12,single_bit_93,10000,10000,1,0,0.0001,63.5459
0,static,12,single_bit_127,10000,10000,1,0,0.0001,63.5841
0,rotor,12,single_bit_127,10000,10000,1,0,0.0001,63.6585
0,round_only,12,single_bit_127,10000,10000,1,0,0.0001,63.7037
0,position_only,12,single_bit_127,10000,10000,1,0,0.0001,63.6757
0,static,12,full_byte_0,10000,10000,1,0,0.0001,63.7457
0,rotor,12,full_byte_0,10000,10000,1,0,0.0001,63.7631
0,round_only,12,full_byte_0,10000,10000,1,0,0.0001,63.7556
