key_index,variant,rounds,stride,pairs,mean_hamming_distance,sd,ci95_low,ci95_high,z_from_ideal_64
0,static,8,1,10000,52.2469,11.687463371921513,52.017825717910334,52.47597428208966,-100.56159857780756
0,rotor,8,1,10000,63.9519,6.137943778284592,63.83159630194562,64.07220369805438,-0.7836500583496845
0,round_only,8,1,10000,48.851,14.574877073381115,48.56533240936173,49.13666759063827,-103.93912705903666
0,position_only,8,1,10000,58.4775,8.876473000426055,58.30352112919165,58.65147887080835,-62.21502616788144
0,static,8,2,10000,56.2569,9.485151511700801,56.070991030370664,56.44280896962934,-81.63390948946021
0,rotor,8,2,10000,56.2735,10.077859597920957,56.07597395188075,56.47102604811925,-76.66806552448858
0,round_only,8,2,10000,56.9942,9.983162460526792,56.79853001577367,57.18986998422633,-70.17615938537294
0,position_only,8,2,10000,55.0471,10.116339042438334,54.84881975476821,55.24538024523179,-88.49940638053278
0,static,8,4,10000,54.7647,10.141253295911762,54.565931435400124,54.96346856459987,-91.06665350448375
0,rotor,8,4,10000,56.2498,9.71943654255073,56.059299043766,56.440300956234,-79.73919029226018
0,round_only,8,4,10000,56.2585,10.002443833297132,56.062452100867375,56.45454789913262,-77.39608568687309
0,position_only,8,4,10000,55.8924,9.571529849421452,55.70479801495134,56.08000198504866,-84.70537236521348
0,static,8,8,10000,56.8268,10.472534037037821,56.62153833287406,57.03206166712594,-68.49536105235669
0,rotor,8,8,10000,55.8616,10.123215565685586,55.66318497491257,56.06001502508744,-80.39342783123706
0,round_only,8,8,10000,56.7633,9.849333685453281,56.570253059765115,56.95634694023489,-73.47400576638047
0,position_only,8,8,10000,56.3617,10.223635624499645,56.161316741759805,56.56208325824019,-74.71216972654801
0,static,8,16,10000,55.3757,10.54216596512897,55.16907354708347,55.58232645291653,-81.80766674066008
0,rotor,8,16,10000,56.284,9.791748150007908,56.09208173625984,56.475918263740155,-78.80104636876071
0,round_only,8,16,10000,56.6748,9.85097706498769,56.48172084952624,56.867879150473755,-74.36013658010842
0,position_only,8,16,10000,55.8793,9.921611529763437,55.68483641401664,56.073763585983365,-81.84859864386993
0,static,8,256,10000,57.6247,9.125216538125919,57.44584575585273,57.803554244147264,-69.86464346751077
0,rotor,8,256,10000,58.0813,9.329179688984821,57.898448078095896,58.2641519219041,-63.44287705154128
0,round_only,8,256,10000,57.7356,8.972543858590463,57.55973814037163,57.91146185962837,-69.8174352639398
0,position_only,8,256,10000,58.6557,8.708348927558221,58.48501636101986,58.82638363898015,-61.36984225663674
0,static,12,1,10000,64.0042,5.694561015786577,63.89258660409058,64.11581339590941,0.07375458772597207
0,rotor,12,1,10000,63.9633,5.704507625617225,63.8514916505379,64.0751083494621,-0.6433508798409637
0,round_only,12,1,10000,63.9231,5.671966458852788,63.811929457406485,64.03427054259352,-1.3557908100809848
0,position_only,12,1,10000,63.9301,5.641027930227873,63.81953585256754,64.04066414743247,-1.2391358607787164
0,static,12,2,10000,63.7271,5.886500715965973,63.61172458596707,63.84247541403293,-4.636031033850254
0,rotor,12,2,10000,63.7121,5.892035743146833,63.59661609943432,63.82758390056568,-4.886256848235584
0,round_only,12,2,10000,63.7237,5.810811893658781,63.609808086884286,63.837591913115716,-4.754929346474278
0,position_only,12,2,10000,63.7147,5.934359744113704,63.59838654901537,63.83101345098463,-4.807595297588569
0,static,12,4,10000,63.7807,5.792043014880727,63.66717595690834,63.89422404309167,-3.786228787261741
0,rotor,12,4,10000,63.7251,5.818927390988666,63.61104902313662,63.83915097686337,-4.724238360934341
0,round_only,12,4,10000,63.6615,5.873922713724167,63.546371114811,63.77662888518899,-5.762758832510899
0,position_only,12,4,10000,63.7471,5.84969772606659,63.6324459245691,63.86175407543091,-4.323300311280356
0,static,12,8,10000,63.6729,5.889598825678431,63.5574638630167,63.7883361369833,-5.553858754756907
0,rotor,12,8,10000,63.6988,5.989479605658129,63.5814061997291,63.816193800270895,-5.028817523904155
0,round_only,12,8,10000,63.7335,5.843226170465073,63.618972767058885,63.848027232941114,-4.560836637593123
0,position_only,12,8,10000,63.6659,5.922076011706439,63.549827310170556,63.781972689829445,-5.641602697087451
0,static,12,16,10000,63.5523,5.9083970436627355,63.436495417944215,63.66810458205579,-7.577351296663354
0,rotor,12,16,10000,63.5789,5.940614772932852,63.46246395045051,63.69533604954948,-7.088491950675801
0,round_only,12,16,10000,63.6807,5.840116283587219,63.566233720841694,63.79516627915831,-5.467356889747961
0,position_only,12,16,10000,63.673,5.985553749267359,63.55568314651436,63.79031685348564,-5.463153681311833
0,static,12,256,10000,63.8957,5.820241320675896,63.78162327011475,64.00977672988525,-1.7920219154742858
0,rotor,12,256,10000,63.7424,5.743373649179323,63.62982987647609,63.85497012352392,-4.485168748106877
0,round_only,12,256,10000,63.8135,5.813355077726284,63.69955824047656,63.92744175952343,-3.2081302020337987
0,position_only,12,256,10000,63.8441,5.766135622928253,63.731083741790606,63.95711625820939,-2.703717189378749
0,static,14,1,10000,63.9866,5.683946794711973,63.87519464282365,64.09800535717636,-0.23575167896476096
0,rotor,14,1,10000,64.0679,5.736321131876492,63.955468105815214,64.18033189418477,1.1836854743483085
0,round_only,14,1,10000,63.9766,5.66975017498167,63.86547289657036,64.08772710342964,-0.41271659734245625
0,position_only,14,1,10000,63.9783,5.586604525560451,63.86880255129901,64.08779744870098,-0.3884291415423891
0,static,14,2,10000,63.8955,5.6075238904901905,63.78559253174639,64.00540746825361,-1.8635676287928675
0,rotor,14,2,10000,63.9007,5.6562212468996815,63.789838063560765,64.01156193643924,-1.7555890348954852
0,round_only,14,2,10000,63.9643,5.685196360352523,63.85287015133709,64.07572984866292,-0.6279466484036244
0,position_only,14,2,10000,63.9299,5.600528777022596,63.82012963597036,64.03967036402965,-1.2516675262449717
0,static,14,4,10000,64.0338,5.644700507943928,63.9231638700443,64.14443612995571,0.5987917331031434
0,rotor,14,4,10000,64.0234,5.61859495789918,63.91327553882517,64.13352446117482,0.41647422843850224
