comparison,n,mean_bits_per_round,sd,ci95_low,ci95_high
rotor-static,256,0.010976437579789059,0.04044085554873615,0.006022432775068881,0.015930442384509236
round_only-static,256,0.012338137289363275,0.04263766025558531,0.007115023908054075,0.017561250670672476
position_only-static,256,0.0005713047071171928,0.05663379899347074,-0.006366335669582973,0.007508945083817359
