context_index,variant,rounds,max_weight1_class_probability,max_weight1_class_log2_probability,max_weight1_class_start_bit,max_single_trail_probability,max_single_trail_log2_probability,class_minus_single_gap_bits,finite_4_16_decay_bits_per_round
2,static,8,3.1659536103845198e-12,-38.200497022326,8,1.1102230246251565e-16,-53.000000000000,14.799502977674,4.939546492377
2,static,12,3.4867123826867038e-18,-57.992838346205,8,8.2718061255302767e-25,-80.000000000000,22.007161653795,4.939546492377
2,static,16,3.6185680670619102e-24,-77.870855367624,8,6.1629758220391547e-33,-107.000000000000,29.129144632376,4.939546492377
2,position_only,4,2.2314488887786865e-06,-18.773587807211,107,2.9802322387695312e-08,-25.000000000000,6.226412192789,5.009644581713
2,position_only,8,2.0388274402094453e-12,-38.835397463190,88,1.1102230246251565e-16,-53.000000000000,14.164602536810,5.009644581713
2,position_only,12,1.8325594002998587e-18,-58.920845745559,88,1.6543612251060553e-24,-79.000000000000,20.079154254441,5.009644581713
2,position_only,16,1.805720758740611e-24,-78.873699469266,88,1.2325951644078309e-32,-106.000000000000,27.126300530734,5.009644581713
2,rotor,4,2.4251639842987061e-06,-18.653486266834,60,1.4901161193847656e-08,-26.000000000000,7.346513733166,4.993668956458
2,rotor,8,2.5113799928533354e-12,-38.534656801664,60,1.1102230246251565e-16,-53.000000000000,14.465343198336,4.993668956458
2,rotor,12,2.2881363604937985e-18,-58.600532676509,60,1.6543612251060553e-24,-79.000000000000,20.399467323491,4.993668956458
2,rotor,16,2.2644497878955652e-24,-78.547113727998,60,1.2325951644078309e-32,-106.000000000000,27.452886272002,4.993668956458
2,round_only,4,1.9744038581848145e-06,-18.950151450549,107,1.4901161193847656e-08,-26.000000000000,7.049848549451,4.992229798012
2,round_only,8,1.9904911052748275e-12,-38.870012714044,31,2.2204460492503131e-16,-52.000000000000,13.129987285956,4.992229798012
2,round_only,12,1.8644916738717026e-18,-58.895923353388,31,3.3087224502121107e-24,-78.000000000000,19.104076646612,4.992229798012
2,round_only,16,1.8510737806143353e-24,-78.837911877601,31,2.4651903288156619e-32,-105.000000000000,26.162088122399,4.992229798012
3,static,4,2.6375055313110352e-06,-18.532394449917,112,2.9802322387695312e-08,-25.000000000000,6.467605550083,4.960245482121
3,static,8,2.7332164309612494e-12,-38.412537433814,58,2.2204460492503131e-16,-52.000000000000,13.587462566186,4.960245482121
3,static,12,2.9544632760333996e-18,-58.231809641643,43,1.6543612251060553e-24,-79.000000000000,20.768190358357,4.960245482121
3,static,16,3.168274790174857e-24,-78.062576808915,43,2.4651903288156619e-32,-105.000000000000,26.937423191085,4.960245482121
3,position_only,4,2.5965273380279541e-06,-18.554985154132,120,1.4901161193847656e-08,-26.000000000000,7.445014845868,5.016770991306
