context_index,variant,period_rounds,spectral_decay_bits_per_round,period_perron_factor,iterations
34,position_only,16,5.036031482333,5.5469651246489343e-25,11
34,rotor,16,4.982752402693,1.0015509636825574e-24,10
34,round_only,16,4.976756646719,1.0704132873528678e-24,11
35,static,16,5.015494594581,6.9657990710147298e-25,10
35,position_only,16,4.957006166049,1.3325370260974757e-24,9
35,rotor,16,4.977951335546,1.0563243636635461e-24,9
35,round_only,16,4.973424798471,1.1107063932881968e-24,9
36,static,16,4.954061499514,1.3767725945220435e-24,9
36,position_only,16,4.975558152735,1.0847359001596408e-24,10
36,rotor,16,4.959320790768,1.298766092415907e-24,11
36,round_only,16,4.976426611000,1.0743384072557298e-24,10
