comparison,n,mean_bits_per_round,sd,ci95_low,ci95_high
rotor-static,256,0.008805801917203097,0.03813822489149543,0.004133869367994906,0.013477734466411286
round_only-static,256,0.009480026193675755,0.03848878824721857,0.0047651496333914805,0.014194902753960029
position_only-static,256,0.001506895771644482,0.0537031535190798,-0.005071740534442794,0.008085532077731758
